INCIDENT_TYPE,Street,MONTH,YEAR,FILE_NUMBER,Latitude,Longitude
Break and Enter - Business,10200 GRACE RD,Jan,2019,19-252,49.187913,-122.896156
Break and Enter - Business,13500 106TH AVE,Jan,2019,19-649,49.19591,-122.84716
Break and Enter - Business,10400 UNIVERSITY DR,Jan,2019,19-1744,49.192025,-122.850452
Break and Enter - Business,9800 140TH ST,Jan,2019,19-2943,49.179726,-122.833825
Break and Enter - Business,13500 105TH AVE,Jan,2019,19-3136,49.194340000000004,-122.847774
Break and Enter - Business,10500 124TH ST,Jan,2019,19-3185,49.193625,-122.878243
Break and Enter - Business,13400 108TH AVE,Jan,2019,19-3209,49.198741,-122.85056200000001
Break and Enter - Business,13500 96TH AVE,Jan,2019,19-3859,49.176854999999996,-122.849014
Break and Enter - Business,10300 KING GEORGE BLVD,Jan,2019,19-4116,49.189710999999996,-122.844875
Break and Enter - Business,10500 KING GEORGE BLVD,Jan,2019,19-4169,49.193277,-122.845001
Break and Enter - Business,12800 KING GEORGE BLVD,Jan,2019,19-5199,49.206109999999995,-122.86680600000001
Break and Enter - Business,10600 135A ST,Jan,2019,19-5921,49.195533000000005,-122.846455
Break and Enter - Business,13300 104TH AVE,Jan,2019,19-6627,49.19147,-122.853448
Break and Enter - Business,13500 96TH AVE,Jan,2019,19-6867,49.176854999999996,-122.849014
Break and Enter - Business,10200 128TH ST,Jan,2019,19-7324,49.188314,-122.865885
Break and Enter - Business,13200 OLD YALE RD,Jan,2019,19-7480,49.187326,-122.855737
Break and Enter - Business,10000 GRACE RD,Jan,2019,19-7957,49.191303000000005,-122.849144
Break and Enter - Business,10600 SCOTT RD,Jan,2019,19-8290,49.195060999999995,-122.886424
Break and Enter - Business,10300 SCOTT RD,Jan,2019,19-8449,49.192245,-122.889548
Break and Enter - Business,13400 102ND AVE,Jan,2019,19-8942,49.188708,-122.851262
Break and Enter - Business,12000 104TH AVE,Jan,2019,19-9147,49.181012,-122.891097
Break and Enter - Business,9900 WHALLEY BLVD,Jan,2019,19-9457,49.191303000000005,-122.849144
Break and Enter - Business,13700 100TH AVE,Jan,2019,19-9491,49.184049,-122.84259899999999
Break and Enter - Business,13800 102ND AVE,Jan,2019,19-9560,49.187629,-122.83972
